Date,Open,High,Low,Close,Adj Close,Volume
28-Dec-18,39.38,39.63,38.64,39.06,37.35,"169,165,600"
27-Dec-18,38.96,39.19,37.52,39.04,37.33,"212,468,400"
26-Dec-18,37.08,39.31,36.68,39.29,37.57,"234,330,000"
24-Dec-18,37.04,37.89,36.65,36.71,35.1,"148,676,800"
21-Dec-18,39.22,39.54,37.41,37.68,36.03,"382,978,400"
20-Dec-18,40.1,40.53,38.83,39.21,37.49,"259,092,000"
19-Dec-18,41.5,41.86,39.77,40.22,38.46,"196,189,200"
18-Dec-18,41.35,41.88,41.1,41.52,39.7,"135,366,000"
17-Dec-18,41.36,42.09,40.68,40.99,39.19,"177,151,600"
14-Dec-18,42.25,42.27,41.32,41.37,39.56,"162,814,800"
13-Dec-18,42.62,43.14,42.39,42.74,40.86,"127,594,400"
12-Dec-18,42.6,42.98,42.26,42.28,40.42,"142,510,800"
11-Dec-18,42.92,42.95,41.75,42.16,40.31,"189,126,800"
10-Dec-18,41.25,42.52,40.83,42.4,40.54,"248,104,000"
7-Dec-18,43.37,43.62,42.08,42.12,40.28,"169,126,400"
6-Dec-18,42.94,43.69,42.6,43.68,41.77,"172,393,600"
4-Dec-18,45.24,45.6,44.07,44.17,42.24,"165,377,200"
3-Dec-18,46.12,46.24,45.3,46.21,44.18,"163,210,000"
30-Nov-18,45.07,45.08,44.26,44.65,42.69,"158,126,000"
29-Nov-18,45.67,45.7,44.42,44.89,42.92,"167,080,000"
28-Nov-18,44.18,45.32,43.73,45.24,43.25,"184,250,000"
27-Nov-18,42.88,43.69,42.72,43.56,41.65,"165,549,600"
26-Nov-18,43.56,43.74,42.56,43.65,41.74,"179,994,000"
23-Nov-18,43.74,44.15,43.03,43.07,41.19,"94,496,000"
21-Nov-18,44.93,45.07,44.14,44.19,42.26,"124,496,800"
20-Nov-18,44.59,45.37,43.88,44.24,42.31,"271,300,800"
19-Nov-18,47.5,47.67,46.25,46.47,44.43,"167,701,200"
16-Nov-18,47.63,48.74,47.37,48.38,46.26,"147,713,200"
15-Nov-18,47.1,47.99,46.72,47.85,45.76,"185,915,200"
14-Nov-18,48.47,48.62,46.48,46.7,44.65,"243,204,000"
13-Nov-18,47.91,49.29,47.86,48.06,45.95,"187,531,600"
12-Nov-18,49.75,49.96,48.45,48.54,46.42,"204,542,000"
9-Nov-18,51.39,51.5,50.56,51.12,48.88,"137,463,200"
8-Nov-18,52.49,52.53,51.69,52.12,49.84,"101,450,400"
