Date,Open,High,Low,Close,Adj Close,Volume
28-Dec-18,73.67,75.67,72.45,73.9,73.9,"176,580,000"
27-Dec-18,72.71,73.45,69.52,73.08,73.08,"194,440,000"
26-Dec-18,68.44,73.66,68.15,73.54,73.54,"208,236,000"
24-Dec-18,67.3,69.8,65.35,67.2,67.2,"144,400,000"
21-Dec-18,73.25,74,68.2,68.87,68.87,"272,806,000"
20-Dec-18,74.2,75.47,71.63,73.04,73.04,"199,836,000"
19-Dec-18,77.15,79.23,74.16,74.75,74.75,"175,844,000"
18-Dec-18,77,78.38,76.15,77.57,77.57,"130,460,000"
17-Dec-18,78.3,78.81,75.25,76.05,76.05,"176,596,000"
14-Dec-18,81.9,82.13,79.25,79.6,79.6,"127,344,000"
13-Dec-18,84,84.61,82.07,82.92,82.92,"105,426,000"
12-Dec-18,83.45,85.25,83.01,83.18,83.18,"131,960,000"
11-Dec-18,83.9,83.97,80.98,82.16,82.16,"124,894,000"
10-Dec-18,81.19,82.9,79.54,82.05,82.05,"149,896,000"
7-Dec-18,85.25,85.95,81.27,81.46,81.46,"151,522,000"
6-Dec-18,80.74,85.05,80.49,84.96,84.96,"175,788,000"
4-Dec-18,87.8,88.52,83.25,83.42,83.42,"173,890,000"
3-Dec-18,88.47,88.92,86.5,88.62,88.62,"137,246,000"
30-Nov-18,83.97,84.8,83.32,84.51,84.51,"115,236,000"
29-Nov-18,83.75,84.5,82.62,83.68,83.68,"132,264,000"
28-Nov-18,80.7,84.07,80.06,83.89,83.89,"169,174,000"
27-Nov-18,78.8,79.88,77.9,79.07,79.07,"115,664,000"
26-Nov-18,76.95,79.24,76.21,79.07,79.07,"125,154,000"
23-Nov-18,75.85,76.81,75.09,75.1,75.1,"54,152,000"
21-Nov-18,77.15,77.5,75.75,75.84,75.84,"114,336,000"
20-Nov-18,71.88,76.74,71,74.77,74.77,"217,576,000"
19-Nov-18,78.85,79.06,75.17,75.61,75.61,"155,800,000"
16-Nov-18,79.38,80.72,78.66,79.67,79.67,"121,322,000"
15-Nov-18,79.05,81.24,77.33,80.97,80.97,"168,546,000"
14-Nov-18,82.82,83.65,79.85,79.95,79.95,"129,738,000"
13-Nov-18,82.46,83.85,80.69,81.56,81.56,"118,666,000"
12-Nov-18,84.91,85.43,81.5,81.84,81.84,"136,124,000"
9-Nov-18,86.63,87.2,85.09,85.62,85.62,"118,044,000"
8-Nov-18,87.75,89.2,86.26,87.75,87.75,"130,698,000"
7-Nov-18,83.65,87.96,83.2,87.77,87.77,"163,844,000"
6-Nov-18,80.92,83.25,80.73,82.14,82.14,"85,148,000"
5-Nov-18,82.88,82.9,79.82,81.39,81.39,"112,494,000"
2-Nov-18,83.93,84.87,82.59,83.28,83.28,"139,110,000"
1-Nov-18,81.18,83.52,79.92,83.28,83.28,"162,710,000"
31-Oct-18,78.5,81.2,78.25,79.9,79.9,"187,804,000"
30-Oct-18,74.31,77.05,73.82,76.52,76.52,"249,202,000"
29-Oct-18,83,83.29,74.75,76.94,76.94,"277,322,000"
26-Oct-18,82.48,84.92,80.15,82.14,82.14,"299,276,000"
25-Oct-18,85.17,89.74,84.6,89.11,89.11,"205,714,000"
24-Oct-18,88.68,88.89,82.83,83.21,83.21,"138,568,000"
23-Oct-18,87.11,88.82,85.7,88.43,88.43,"134,478,000"
22-Oct-18,89.2,90.47,87.8,89.46,89.46,"90,000,000"
19-Oct-18,89.26,90.46,87.65,88.2,88.2,"118,144,000"
18-Oct-18,91.07,91.51,88.39,88.54,88.54,"117,480,000"
17-Oct-18,92.14,92.25,90.35,91.59,91.59,"105,904,000"
16-Oct-18,89.18,91.19,88.08,91,91,"117,198,000"
15-Oct-18,89.75,89.75,86.71,88.05,88.05,"128,744,000"
12-Oct-18,90.4,90.45,87.13,89.43,89.43,"188,892,000"
11-Oct-18,86.2,87.77,84.25,85.97,85.97,"278,718,000"
10-Oct-18,92.89,92.93,87.72,87.76,87.76,"219,778,000"
9-Oct-18,93,94.83,92.62,93.52,93.52,"95,458,000"
8-Oct-18,93.7,95.1,91.53,93.22,93.22,"147,864,000"
5-Oct-18,95.9,96.45,93.14,94.48,94.48,"136,446,000"
4-Oct-18,97.45,97.8,94.83,95.47,95.47,"145,140,000"
3-Oct-18,99.08,99.49,97.49,97.64,97.64,"105,062,000"
2-Oct-18,100,100.67,98.29,98.57,98.57,"108,014,000"
1-Oct-18,101.1,101.66,100.18,100.22,100.22,"69,210,000"
28-Sep-18,100.22,101.33,99.82,100.15,100.15,"81,702,000"
27-Sep-18,99.66,100.81,99.43,100.65,100.65,"86,588,000"
26-Sep-18,98.43,99.76,98.08,98.74,98.74,"86,270,000"
25-Sep-18,97.14,98.8,96.94,98.73,98.73,"90,768,000"
24-Sep-18,95.19,96.84,93.25,96.72,96.72,"84,274,000"
21-Sep-18,97.71,97.87,95.53,95.75,95.75,"137,118,000"
20-Sep-18,96.93,97.75,96.61,97.21,97.21,"63,098,000"
19-Sep-18,97.03,97.04,95.25,96.32,96.32,"81,136,000"
18-Sep-18,95.93,97.91,95.77,97.05,97.05,"85,374,000"
17-Sep-18,97.74,97.84,94.37,95.4,95.4,"141,004,000"
