Date,Open,High,Low,Close,Adj Close,Volume
28-Dec-18,52.48,52.78,51.65,51.85,51.73,"28,296,000"
27-Dec-18,50.86,52.19,49.85,52.19,52.07,"42,196,000"
26-Dec-18,49.45,52,49.15,51.97,51.85,"47,466,000"
24-Dec-18,48.69,50.18,48.51,48.81,48.69,"31,806,000"
21-Dec-18,50.76,51.2,48.68,48.98,48.86,"91,920,000"
20-Dec-18,50.91,51.71,49.82,50.47,50.35,"53,470,000"
19-Dec-18,51.7,53.1,50.4,51.15,51.03,"49,586,000"
18-Dec-18,51.3,52.47,51.07,51.44,51.31,"43,850,000"
17-Dec-18,51.88,52.66,50.4,50.83,50.7,"47,708,000"
14-Dec-18,52.5,53.13,52.04,52.1,51.98,"33,732,000"
13-Dec-18,53.4,53.99,52.7,53.1,52.96,"26,596,000"
12-Dec-18,53.4,54.08,53.14,53.18,53.05,"30,476,000"
11-Dec-18,52.82,53.03,51.99,52.59,52.46,"27,894,000"
10-Dec-18,51.75,52.42,51.16,51.98,51.85,"36,154,000"
7-Dec-18,53,53.76,51.42,51.83,51.7,"42,024,000"
6-Dec-18,51.71,53.56,51.54,53.44,53.31,"55,384,000"
4-Dec-18,55.16,55.22,52.5,52.54,52.41,"46,904,000"
3-Dec-18,56.16,56.23,55.18,55.32,55.19,"39,824,000"
30-Nov-18,54.45,54.78,53.89,54.72,54.59,"51,604,000"
29-Nov-18,53.8,54.71,53.8,54.42,54.28,"29,378,000"
28-Nov-18,52.44,54.34,51.79,54.31,54.18,"49,508,000"
27-Nov-18,52.05,52.88,51.92,52.22,52.09,"36,064,000"
26-Nov-18,51.92,52.47,51.7,52.43,52.3,"38,856,000"
23-Nov-18,51.5,51.88,51.12,51.19,51.07,"13,830,000"
21-Nov-18,51.84,52.43,51.67,51.88,51.75,"30,686,000"
20-Nov-18,50,51.59,49.8,51.29,51.16,"48,982,000"
19-Nov-18,52.86,53.04,50.81,51,50.88,"37,172,000"
16-Nov-18,52.97,53.35,52.45,53.07,52.94,"33,162,000"
