Date,Open,High,Low,Close,Adj Close,Volume
28-Dec-18,109.2,109.75,107.55,108.06,82.36,"5,352,905"
27-Dec-18,105.15,108.78,104.66,108.78,82.91,"6,323,698"
26-Dec-18,103.25,106.49,101.28,106.49,81.16,"6,951,507"
24-Dec-18,105.07,106.12,102.77,102.84,78.38,"3,997,184"
21-Dec-18,107.55,110.21,105.58,106.06,80.84,"10,864,279"
20-Dec-18,110.61,111.33,106.79,108.05,82.35,"8,843,302"
19-Dec-18,112,114.98,110.87,111.31,84.84,"7,300,871"
18-Dec-18,111.76,113.03,110.92,111.52,85,"6,579,549"
17-Dec-18,113.83,114.51,110.01,110.99,84.6,"7,713,727"
14-Dec-18,114.24,115.78,114.19,114.63,87.37,"4,763,693"
13-Dec-18,115.93,116.43,114.89,115.42,87.97,"4,177,306"
12-Dec-18,117.12,117.48,115.68,115.83,88.28,"3,724,283"
11-Dec-18,117.83,118.37,114.72,115.57,88.09,"5,275,083"
10-Dec-18,114.47,116.33,113.31,115.8,88.26,"6,850,777"
7-Dec-18,118.45,118.59,113.64,114.09,86.96,"7,342,502"
6-Dec-18,114.46,118.46,114.05,118.46,90.29,"7,257,148"
4-Dec-18,119.02,119.43,115.99,116.25,88.6,"6,276,732"
3-Dec-18,120.14,121.02,118.89,119.8,91.31,"6,115,334"
30-Nov-18,116.31,119.21,116.14,118.8,90.55,"7,585,174"
29-Nov-18,117.06,117.71,116.06,116.14,88.52,"5,439,305"
28-Nov-18,115.69,117.68,114.93,117.59,89.62,"5,339,307"
27-Nov-18,113.17,114.76,113.16,114.75,87.46,"5,129,375"
26-Nov-18,113.16,114.96,112.87,114.3,87.12,"5,241,611"
23-Nov-18,112.9,113.14,111.77,112.04,85.39,"2,442,096"
21-Nov-18,112.44,114.25,112.23,113.36,86.4,"5,581,247"
20-Nov-18,113.28,114.24,111.57,112.05,85.4,"6,520,555"
19-Nov-18,116.28,116.81,114.5,115.02,87.66,"4,321,235"
16-Nov-18,115.57,116.49,115.24,116.22,88.58,"4,263,810"
15-Nov-18,114.4,116.1,114.25,116.1,88.49,"5,447,463"
14-Nov-18,115.78,116.57,114.5,114.91,87.58,"4,981,366"
13-Nov-18,115.86,116.87,114.63,115.53,88.05,"4,272,282"
12-Nov-18,118.07,118.14,115.34,115.58,88.09,"5,626,539"
9-Nov-18,118.17,119.09,116.6,118.11,90.02,"7,282,043"
8-Nov-18,117.27,118.93,117.24,117.95,89.9,"10,874,634"
7-Nov-18,118.35,119.56,116.95,119.35,89.82,"12,952,304"
6-Nov-18,115.39,118.37,115.02,117.71,88.58,"10,038,880"
5-Nov-18,110.99,115.46,110.9,114.78,86.38,"9,565,252"
2-Nov-18,112.34,112.57,109.5,110.58,83.22,"11,079,964"
1-Nov-18,110.42,111.85,110.05,111.69,84.06,"14,253,528"
31-Oct-18,111.37,111.38,109.07,110.35,83.05,"22,640,670"
30-Oct-18,115.18,116.16,110.09,110.33,83.03,"22,445,696"
29-Oct-18,114.09,118.5,113.1,114.38,86.08,"21,391,118"
