Date,Open,High,Low,Close,Adj Close,Volume
28-Dec-18,135.34,135.92,132.2,133.2,132.8,"22,627,600"
27-Dec-18,132.44,134.99,129.67,134.52,134.12,"31,202,500"
26-Dec-18,126,134.24,125.89,134.18,133.78,"39,723,400"
24-Dec-18,123.1,129.74,123.02,124.06,123.69,"22,066,000"
21-Dec-18,133.39,134.9,123.42,124.95,124.57,"56,901,500"
20-Dec-18,130.7,135.57,130,133.4,133,"40,297,900"
19-Dec-18,141.21,144.91,132.5,133.24,132.84,"57,404,900"
18-Dec-18,141.08,145.93,139.83,143.66,143.23,"24,709,100"
17-Dec-18,143.08,144.92,138.42,140.19,139.77,"24,334,000"
14-Dec-18,143.34,146.01,142.51,144.06,143.63,"21,785,800"
13-Dec-18,145.57,145.85,143.19,145.01,144.57,"18,148,600"
12-Dec-18,143.08,147.19,142.51,144.5,144.07,"23,696,900"
11-Dec-18,143.88,143.88,141.1,142.08,141.65,"20,300,300"
10-Dec-18,139.6,143.05,139.01,141.85,141.42,"26,422,200"
7-Dec-18,139.25,140.87,136.66,137.42,137.01,"21,195,500"
6-Dec-18,133.82,139.7,133.67,139.63,139.21,"28,218,100"
4-Dec-18,140.73,143.39,137.16,137.93,137.52,"30,307,400"
3-Dec-18,143,143.68,140.76,141.09,140.67,"24,819,200"
30-Nov-18,138.26,140.97,137.36,140.61,140.19,"25,732,600"
29-Nov-18,135.92,139.99,135.66,138.68,138.26,"24,238,700"
28-Nov-18,136.28,136.79,131.85,136.76,136.35,"29,847,500"
27-Nov-18,135.75,136.61,133.71,135,134.59,"20,750,300"
26-Nov-18,133,137,132.78,136.38,135.97,"24,263,600"
23-Nov-18,133.65,134.5,131.26,131.73,131.33,"11,886,100"
21-Nov-18,134.4,137.19,134.13,134.82,134.42,"25,469,700"
20-Nov-18,127.03,134.16,126.85,132.43,132.03,"41,939,500"
19-Nov-18,137.61,137.75,131.21,131.55,131.16,"44,362,700"
16-Nov-18,141.07,141.77,137.77,139.53,139.11,"37,250,600"
15-Nov-18,142.33,144.84,140.83,143.85,143.42,"30,320,300"
14-Nov-18,143.7,145.58,141.55,144.22,143.79,"22,068,400"
13-Nov-18,142,144.88,141.62,142.16,141.73,"15,141,700"
12-Nov-18,144.48,145.04,140.49,141.55,141.13,"18,542,100"
