Date,Open,High,Low,Close,Adj Close,Volume
28-Dec-18,257.94,261.91,249.8,256.08,256.08,"10,992,800"
27-Dec-18,250.11,255.59,240.1,255.57,255.57,"12,235,200"
26-Dec-18,233.92,254.5,231.23,253.67,253.67,"14,402,700"
24-Dec-18,242,250.65,233.68,233.88,233.88,"9,547,600"
21-Dec-18,263.83,264.5,241.29,246.39,246.39,"21,397,600"
20-Dec-18,264.64,269.9,251.88,260.58,260.58,"16,792,900"
19-Dec-18,269.96,280.87,263.77,266.77,266.77,"13,788,400"
18-Dec-18,263.3,275.75,263.29,270.94,270.94,"10,350,100"
17-Dec-18,266.51,272.98,261.08,262.8,262.8,"9,634,700"
14-Dec-18,271.81,277.67,265,266.84,266.84,"9,915,300"
13-Dec-18,277.64,279.32,271.85,276.02,276.02,"8,379,300"
12-Dec-18,267.66,281.77,266.48,274.88,274.88,"11,456,700"
11-Dec-18,274.08,274.5,262.76,265.32,265.32,"9,843,200"
10-Dec-18,264.19,271.18,260.61,269.7,269.7,"9,605,600"
7-Dec-18,282.48,284.21,263.38,265.14,265.14,"12,466,700"
6-Dec-18,268.33,283.22,267.14,282.88,282.88,"13,074,300"
4-Dec-18,288.13,295.74,274.72,275.33,275.33,"12,800,600"
3-Dec-18,293.19,298.72,284.58,290.3,290.3,"14,117,400"
30-Nov-18,288,290.81,283.06,286.13,286.13,"11,860,100"
29-Nov-18,282.32,290.49,275.5,288.75,288.75,"15,431,500"
28-Nov-18,271.98,284,263.34,282.65,282.65,"14,801,300"
27-Nov-18,259.24,269.08,256.14,266.63,266.63,"11,149,500"
26-Nov-18,260.55,266.25,253.8,261.43,261.43,"12,498,600"
23-Nov-18,260.11,265.5,256.84,258.82,258.82,"5,245,100"
21-Nov-18,274.42,275.34,261.51,262.13,262.13,"11,023,000"
20-Nov-18,254.63,276.34,250,266.98,266.98,"16,693,800"
19-Nov-18,283.79,285.09,269.15,270.6,270.6,"12,993,800"
16-Nov-18,287.14,291.72,281,286.21,286.21,"9,099,500"
15-Nov-18,285.51,292.5,282.16,290.06,290.06,"9,967,100"
14-Nov-18,300.4,301.84,278.3,286.73,286.73,"16,853,600"
13-Nov-18,295,303.55,289.1,294.4,294.4,"12,232,200"
12-Nov-18,300,302.49,290.63,294.07,294.07,"10,924,800"
9-Nov-18,311.07,312.98,298.01,303.47,303.47,"13,480,800"
8-Nov-18,328,332.05,316.61,317.92,317.92,"11,023,900"
7-Nov-18,312.9,328.56,311,327.5,327.5,"13,328,300"
6-Nov-18,314.76,320.22,305.3,310.84,310.84,"9,710,400"
5-Nov-18,311.1,317.53,303.74,315.44,315.44,"10,283,000"
2-Nov-18,318,321.88,308.33,309.1,309.1,"13,404,600"
1-Nov-18,304.59,318.45,296.67,317.38,317.38,"15,121,500"
31-Oct-18,297.77,311.5,295.05,301.78,301.78,"20,360,300"
30-Oct-18,275.57,290.52,271.21,285.81,285.81,"23,685,700"
29-Oct-18,305.26,307.89,275.4,284.84,284.84,"21,698,800"
26-Oct-18,300.51,313.99,292.3,299.83,299.83,"19,616,000"
25-Oct-18,307.12,319.94,305.25,312.87,312.87,"13,346,900"
24-Oct-18,332.28,333,300.73,301.83,301.83,"19,039,300"
23-Oct-18,318,336.58,316.77,333.16,333.16,"14,907,300"
22-Oct-18,333.1,335.8,320.34,329.54,329.54,"17,097,200"
19-Oct-18,351,355.8,332.2,332.67,332.67,"16,717,200"
18-Oct-18,360.67,362.2,346.05,346.71,346.71,"18,461,000"
17-Oct-18,378.33,380,356.5,364.7,364.7,"32,610,900"
16-Oct-18,337.24,347.95,330.56,346.4,346.4,"20,156,400"
15-Oct-18,337.63,339.21,326.93,333.13,333.13,"11,215,000"
12-Oct-18,339.57,341.3,328.9,339.56,339.56,"14,870,800"
11-Oct-18,324.94,334.2,315.81,321.1,321.1,"16,082,100"
10-Oct-18,353.52,355.15,325.39,325.89,325.89,"17,183,100"
9-Oct-18,348.48,358.72,347.09,355.71,355.71,"8,755,000"
8-Oct-18,345.18,352.95,338.11,349.1,349.1,"12,375,500"
5-Oct-18,359.77,363.5,343,351.35,351.35,"13,523,000"
4-Oct-18,375.88,375.92,360.4,363.65,363.65,"9,074,400"
3-Oct-18,378.53,380.93,374.88,377.05,377.05,"5,798,600"
2-Oct-18,384.38,386.8,373.83,377.14,377.14,"8,638,700"
1-Oct-18,375.85,386.11,375.59,381.43,381.43,"8,376,600"
28-Sep-18,379.24,380.8,373.73,374.13,374.13,"7,114,900"
27-Sep-18,379.87,383.2,376,380.71,380.71,"7,326,200"
26-Sep-18,373.59,382,370.88,377.88,377.88,"13,799,700"
25-Sep-18,370.23,371.34,364.49,369.43,369.43,"6,799,800"
24-Sep-18,359,373.64,354.33,369.61,369.61,"9,322,500"
21-Sep-18,366.59,372.22,360.74,361.19,361.19,"11,930,600"
20-Sep-18,370.26,370.26,363.17,365.36,365.36,"6,768,100"
19-Sep-18,373.95,377.61,359.17,366.96,366.96,"11,876,800"
18-Sep-18,353.67,368.15,351.56,367.65,367.65,"10,414,000"
17-Sep-18,364.22,367.33,349.57,350.35,350.35,"7,071,900"
14-Sep-18,368.55,371.09,363.46,364.56,364.56,"4,756,400"
13-Sep-18,371.91,374.09,366.84,368.15,368.15,"8,366,100"
12-Sep-18,359.08,370.43,356.24,369.95,369.95,"10,480,800"
11-Sep-18,344.67,356.15,343.9,355.93,355.93,"6,198,100"
10-Sep-18,352.27,352.5,343.08,348.41,348.41,"5,752,200"
7-Sep-18,342.2,355.75,341.25,348.68,348.68,"9,105,800"
6-Sep-18,347.44,356,341.99,346.46,346.46,"13,050,200"
5-Sep-18,360,363.39,335.83,341.18,341.18,"13,092,800"
4-Sep-18,366.47,368.88,361.26,363.6,363.6,"7,605,200"
31-Aug-18,370.66,376,367.08,367.68,367.68,"7,943,400"
30-Aug-18,365,376.81,363.54,370.98,370.98,"10,981,000"
29-Aug-18,367.2,369.86,362.91,368.04,368.04,"8,118,700"
28-Aug-18,367.23,369.99,360.38,368.49,368.49,"9,222,600"
27-Aug-18,367.15,374.49,360,364.58,364.58,"17,427,300"
24-Aug-18,346,359.15,344.54,358.82,358.82,"14,729,100"
23-Aug-18,348.11,350.08,337.65,339.17,339.17,"11,336,400"
22-Aug-18,338.49,346.21,337.41,344.44,344.44,"8,930,700"
21-Aug-18,331,341.5,329.7,338.02,338.02,"14,783,200"
20-Aug-18,314.64,331.6,310.93,327.73,327.73,"13,591,100"
17-Aug-18,319.01,324.37,312.96,316.78,316.78,"10,407,900"
16-Aug-18,329.9,331.17,321.21,322.44,322.44,"6,689,700"
15-Aug-18,334.03,335.5,321,326.4,326.4,"11,784,500"
14-Aug-18,342.09,342.41,336.25,337.49,337.49,"5,805,200"
