Date,Open,High,Low,Close,Adj Close,Volume
28-Dec-18,45.14,45.77,44.74,44.82,40.89,"39,141,200"
27-Dec-18,43.95,45.09,43.46,44.97,41.02,"19,048,700"
26-Dec-18,43,44.61,42.4,44.59,40.68,"21,428,900"
24-Dec-18,43.77,43.82,42.68,42.69,38.94,"17,230,400"
21-Dec-18,46.08,46.21,43.86,44,40.14,"58,768,400"
20-Dec-18,46.05,46.95,45.48,46.24,42.18,"35,165,200"
19-Dec-18,46.06,47.44,45.75,46.45,42.37,"34,397,300"
18-Dec-18,48.1,48.34,45.44,45.85,41.83,"42,855,600"
17-Dec-18,46.42,47.23,45.53,45.73,41.72,"30,441,100"
14-Dec-18,46.78,47.03,46.41,46.6,42.51,"21,434,300"
13-Dec-18,47.48,47.55,46.75,47.23,43.09,"23,295,400"
12-Dec-18,47.11,48.11,47.01,47.32,43.17,"21,404,000"
11-Dec-18,46.98,47.13,46.06,46.46,42.38,"22,680,200"
10-Dec-18,46.01,47.08,45.34,46.67,42.58,"26,375,500"
7-Dec-18,46.76,47.04,45.81,46,41.96,"23,978,000"
6-Dec-18,47.75,47.77,45.65,46.68,42.58,"39,877,000"
4-Dec-18,49.52,50.22,48.71,48.75,44.47,"24,643,500"
3-Dec-18,49.44,50.12,49.21,49.83,45.46,"21,966,600"
30-Nov-18,48.09,48.84,47.71,48.76,44.48,"22,884,500"
29-Nov-18,48.38,48.38,47.44,47.9,43.7,"17,052,100"
28-Nov-18,47.73,48.25,47.37,48.19,43.96,"29,352,900"
27-Nov-18,47.92,47.98,46.79,47.44,43.28,"28,054,600"
26-Nov-18,49.16,49.16,48.1,48.26,44.03,"21,603,800"
23-Nov-18,48.04,49.12,48.04,48.7,44.43,"7,807,300"
21-Nov-18,48.76,49.18,48.53,48.62,44.35,"13,859,500"
20-Nov-18,48.67,49.07,47.96,48.33,44.09,"19,389,600"
19-Nov-18,51.05,51.1,49.4,49.55,45.2,"19,520,500"
16-Nov-18,50.53,51.45,50.42,51.17,46.68,"20,929,600"
15-Nov-18,50.04,50.69,49.05,50.63,46.19,"24,922,800"
14-Nov-18,49.97,49.97,48.74,48.84,44.55,"16,094,000"
13-Nov-18,49.47,50,49.24,49.51,45.17,"13,550,600"
12-Nov-18,50.17,50.38,49.11,49.22,44.9,"14,374,400"
9-Nov-18,50.42,50.82,50.31,50.61,46.17,"15,316,100"
8-Nov-18,50.22,50.5,50.07,50.43,46.01,"11,966,600"
7-Nov-18,49.58,50.5,49.47,50.26,45.85,"14,329,800"
6-Nov-18,49.1,49.47,48.83,49.25,44.93,"12,362,700"
5-Nov-18,49,49.13,48.5,49.02,44.72,"13,125,800"
2-Nov-18,48.93,49.02,48.24,48.83,44.55,"17,289,300"
1-Nov-18,48.96,49.24,48.34,48.59,44.33,"17,764,900"
31-Oct-18,49.05,49.45,48.59,48.84,44.55,"21,082,900"
30-Oct-18,47.08,48.62,46.92,48.57,44.31,"24,438,200"
29-Oct-18,47.81,48.09,46.34,47.02,42.89,"19,248,700"
26-Oct-18,47.24,48.07,46.71,47.32,43.17,"23,088,700"
25-Oct-18,47.42,48.29,47.28,47.96,43.75,"19,349,300"
24-Oct-18,47.88,48.3,46.7,46.76,42.66,"20,028,200"
23-Oct-18,47.16,48.32,47.12,47.99,43.78,"18,921,500"
22-Oct-18,47.85,48.49,47.71,47.94,43.73,"16,480,200"
19-Oct-18,47.5,48.24,47.35,47.59,43.41,"17,768,400"
18-Oct-18,47.57,48.14,47.13,47.38,43.22,"15,084,800"
17-Oct-18,47.43,48.24,47.43,47.86,43.66,"15,071,100"
16-Oct-18,47.57,48.42,47.47,48.23,44,"13,600,200"
15-Oct-18,46.96,47.62,46.87,47.12,42.99,"15,693,400"
12-Oct-18,47.4,47.75,46.66,47.38,43.05,"23,152,800"
11-Oct-18,47.33,47.89,46.49,46.78,42.5,"26,387,600"
10-Oct-18,48.81,48.98,47.37,47.4,43.07,"20,885,400"
9-Oct-18,49.11,49.4,48.83,48.87,44.4,"19,009,800"
8-Oct-18,49.27,49.64,48.9,49.36,44.85,"16,295,800"
5-Oct-18,49.42,49.77,49.12,49.35,44.84,"16,900,200"
4-Oct-18,49.68,49.78,49.17,49.47,44.95,"19,034,000"
3-Oct-18,49.59,50.1,49.59,49.75,45.2,"21,207,600"
2-Oct-18,51.65,51.8,50.13,50.23,45.64,"22,406,800"
1-Oct-18,51.22,51.99,51.14,51.8,47.07,"19,217,800"
28-Sep-18,51.54,52.01,51.49,51.56,46.85,"16,234,200"
27-Sep-18,51.56,52.02,51.33,51.69,46.97,"17,993,500"
26-Sep-18,51.75,52.11,51.56,51.63,46.91,"18,131,000"
25-Sep-18,51.39,51.93,50.97,51.72,46.99,"18,665,800"
24-Sep-18,50.81,51.6,50.71,51.24,46.56,"23,906,100"
21-Sep-18,50.83,51.12,50.35,51.1,46.43,"50,751,900"
20-Sep-18,49.66,51.08,49.56,50.43,45.82,"26,973,500"
19-Sep-18,48.92,49.54,48.66,49.43,44.91,"20,904,800"
18-Sep-18,47.51,49.54,47.36,49.03,44.55,"33,451,100"
17-Sep-18,49.31,49.94,49.11,49.18,44.69,"29,225,000"
14-Sep-18,48.94,49.45,48.94,49.25,44.75,"20,066,100"
13-Sep-18,49.28,49.75,48.88,48.96,44.49,"22,124,400"
12-Sep-18,48.75,49.47,48.62,49.34,44.83,"17,058,700"
11-Sep-18,48.52,49.05,48.52,48.92,44.45,"14,877,200"
10-Sep-18,48,49.05,48,48.86,44.39,"20,390,600"
7-Sep-18,47.46,47.99,47.33,47.81,43.44,"20,513,900"
6-Sep-18,47.95,48.22,47.52,47.71,43.35,"18,456,100"
5-Sep-18,48.41,48.49,47.79,48.04,43.65,"16,437,700"
4-Sep-18,48.36,48.83,48.16,48.58,44.14,"17,289,000"
31-Aug-18,48.38,48.63,48.35,48.58,44.14,"17,844,100"
30-Aug-18,48.89,48.89,48.31,48.38,43.96,"15,154,900"
29-Aug-18,48.64,49.1,48.64,48.89,44.42,"17,307,700"
28-Aug-18,49.39,49.43,48.6,48.64,44.19,"15,475,700"
27-Aug-18,49.41,49.7,49.29,49.33,44.82,"12,253,300"
24-Aug-18,49,49.39,48.97,49.26,44.76,"14,011,700"
23-Aug-18,48.8,49.34,48.68,48.96,44.49,"11,026,700"
22-Aug-18,48.34,48.91,48.24,48.8,44.34,"11,639,400"
21-Aug-18,48.58,48.64,48.37,48.41,43.99,"10,187,600"
20-Aug-18,48.4,48.6,48.26,48.42,43.99,"11,936,700"
17-Aug-18,48.21,48.5,47.99,48.36,43.94,"11,412,000"
16-Aug-18,48.14,48.45,48.04,48.1,43.7,"11,874,300"
15-Aug-18,48.1,48.26,47.53,47.84,43.47,"14,091,000"
14-Aug-18,48.12,48.35,47.94,48.23,43.82,"11,513,700"
13-Aug-18,48.34,48.59,47.97,48.01,43.62,"12,152,100"
10-Aug-18,48.37,48.72,48.23,48.32,43.9,"10,502,200"
