Date,Open,High,Low,Close,Adj Close,Volume
28-Dec-18,100.01,100.21,98.94,99.2,89.58,"534,500"
27-Dec-18,97.71,99.06,96.64,98.99,89.39,"978,900"
26-Dec-18,95.21,98.48,94.81,98.38,88.84,"559,000"
24-Dec-18,95.86,96.93,95,95,85.78,"405,500"
21-Dec-18,99.32,99.46,95.74,96.14,86.81,"2,155,000"
20-Dec-18,100.51,101,98.98,100.1,90.39,"854,000"
19-Dec-18,102.02,102.26,98.85,100.11,90.4,"854,400"
18-Dec-18,100.32,100.57,99.69,100.08,90.37,"724,800"
17-Dec-18,100.35,100.88,99.15,99.62,89.95,"789,900"
14-Dec-18,101.58,102.08,100.8,100.99,91.19,"673,500"
13-Dec-18,103.63,104.05,102.86,103.46,93.42,"1,071,800"
12-Dec-18,103.64,104.27,103.29,103.34,93.31,"830,900"
11-Dec-18,102.82,102.9,101.03,101.56,91.71,"981,800"
10-Dec-18,101.55,102.38,100.49,101.9,92.01,"871,700"
7-Dec-18,102.69,103.22,100.28,100.72,90.95,"683,700"
6-Dec-18,100.34,101.72,99.56,101.51,91.66,"1,596,300"
4-Dec-18,105.31,105.45,102.78,102.91,92.93,"884,200"
3-Dec-18,105.5,105.58,104.75,105.29,95.07,"666,900"
30-Nov-18,103.69,103.88,103,103.68,93.62,"698,900"
29-Nov-18,104.7,104.98,103.57,103.99,93.9,"782,600"
28-Nov-18,102.72,105.09,102.44,104.91,94.73,"695,900"
27-Nov-18,101.6,102.41,100.94,101.86,91.98,"764,200"
26-Nov-18,102.24,102.77,101.4,102.74,92.77,"832,300"
23-Nov-18,99.91,101.59,99.91,100.99,91.19,"524,800"
21-Nov-18,101.48,102.24,101.2,101.51,91.66,"890,800"
20-Nov-18,98.97,101,98.83,99.98,90.28,"936,300"
19-Nov-18,104.19,104.27,101.18,101.58,91.72,"1,704,300"
16-Nov-18,103.99,105.3,103.62,104.6,94.45,"1,112,300"
15-Nov-18,103.84,106.09,103.25,105.48,95.25,"760,000"
14-Nov-18,105.21,105.44,103.23,103.83,93.76,"789,300"
13-Nov-18,102.14,104.25,102.1,103.73,93.67,"1,828,900"
12-Nov-18,103.11,103.32,101.02,101.42,91.58,"1,350,400"
9-Nov-18,107.92,108.5,107.2,108.31,97.8,"912,500"
8-Nov-18,107.94,108.68,107.4,107.61,97.17,"1,311,000"
7-Nov-18,108.08,109.51,107.87,109.49,98.87,"981,800"
6-Nov-18,106.78,107.58,106.54,106.9,96.53,"601,200"
5-Nov-18,107.77,107.85,106.75,107.62,97.18,"523,400"
2-Nov-18,107.95,108.47,106.95,107.63,97.19,"563,600"
1-Nov-18,107.05,107.2,105.97,106.67,96.32,"760,600"
31-Oct-18,106.81,107.93,106.67,107.26,96.85,"827,000"
30-Oct-18,104.33,105.64,103.89,105.59,95.35,"877,800"
29-Oct-18,106.54,106.71,102.81,104.28,94.16,"788,000"
26-Oct-18,104.88,106.65,103.83,105.41,95.18,"782,000"
25-Oct-18,104.82,107.52,103.88,106.54,96.2,"1,087,100"
24-Oct-18,106.29,106.43,103.31,103.37,93.34,"1,336,100"
23-Oct-18,106.26,108.43,105.87,107.74,97.29,"980,000"
22-Oct-18,110.18,110.34,108.03,108.62,98.08,"1,098,100"
19-Oct-18,108.8,109.8,108.58,109.02,98.44,"1,064,200"
18-Oct-18,110.66,111.19,106.98,107.01,96.63,"2,493,100"
17-Oct-18,116.2,116.36,115.06,115.79,104.56,"963,300"
16-Oct-18,115.95,117.43,115.38,117.42,106.03,"2,058,900"
15-Oct-18,112.91,113.98,112.76,113.25,102.26,"726,800"
12-Oct-18,114.76,115.32,112.32,114.53,103.42,"967,400"
11-Oct-18,113.51,114.21,111.51,112.91,101.96,"2,087,900"
10-Oct-18,116.36,116.51,112.78,113.01,102.05,"2,665,200"
9-Oct-18,117.67,119.8,117.67,119.38,107.8,"1,796,100"
8-Oct-18,117.63,118.04,116.27,117.33,105.95,"1,522,400"
5-Oct-18,120.47,121.1,119.46,120.09,108.44,"528,100"
4-Oct-18,123.08,123.09,121.42,122.06,110.22,"536,500"
3-Oct-18,123.24,123.25,122.53,122.77,110.86,"359,500"
2-Oct-18,122.04,122.6,121.46,122.21,110.35,"627,800"
1-Oct-18,123.58,123.75,122.87,123.27,111.31,"520,600"
28-Sep-18,122.47,123.74,122.47,123,111.07,"1,342,000"
27-Sep-18,126.01,126.38,125.24,125.36,113.2,"855,800"
26-Sep-18,126.17,127.16,126.08,126.17,113.93,"866,100"
25-Sep-18,124.32,126.63,123.94,126.61,114.33,"2,447,800"
24-Sep-18,121.94,122.51,121.47,122.04,110.2,"424,800"
21-Sep-18,121.2,122.43,120.91,121.64,109.84,"715,800"
20-Sep-18,119.76,120.44,119.24,120.13,108.48,"835,500"
19-Sep-18,119.31,119.8,119.04,119.49,107.9,"770,400"
18-Sep-18,119.27,120.74,119.26,120.28,108.61,"490,800"
17-Sep-18,120.33,120.63,119.72,119.79,108.17,"1,791,100"
14-Sep-18,121.19,121.64,120.91,121.4,109.62,"429,400"
13-Sep-18,121.58,121.83,120.84,121.17,109.41,"723,700"
12-Sep-18,120.42,121.43,119.8,121.05,109.31,"655,100"
11-Sep-18,117.98,119.52,117.63,119.29,107.72,"395,400"
10-Sep-18,118.05,118.42,117.58,118.26,106.79,"533,100"
7-Sep-18,115.55,116.7,115.27,116.52,105.22,"569,000"
6-Sep-18,115.96,116.14,114.55,115.33,104.14,"618,500"
5-Sep-18,117.32,117.4,115.33,115.41,104.21,"863,700"
