Date,Open,High,Low,Close,Adj Close,Volume
28-Dec-18,21.54,22.42,21.23,22.26,22.26,"149,085,000"
27-Dec-18,21.32,21.48,20.1,21.08,21.08,"128,626,500"
26-Dec-18,20,21.8,19.61,21.74,21.74,"122,446,500"
24-Dec-18,20.9,20.97,19.68,19.69,19.69,"83,398,500"
21-Dec-18,21.16,21.56,20.83,21.32,21.32,"120,252,000"
20-Dec-18,21.8,22.02,20.79,21.03,21.03,"136,078,500"
19-Dec-18,22.51,23.13,21.98,22.2,22.2,"124,113,000"
18-Dec-18,23.37,23.44,22.25,22.47,22.47,"106,500,000"
17-Dec-18,24.13,24.38,22.93,23.23,23.23,"115,110,000"
14-Dec-18,25,25.19,24.29,24.38,24.38,"95,064,000"
13-Dec-18,24.68,25.16,24.45,25.12,25.12,"110,488,500"
12-Dec-18,24.63,24.79,24.34,24.44,24.44,"75,405,000"
11-Dec-18,24.66,24.81,24.02,24.45,24.45,"94,632,000"
10-Dec-18,24,24.4,23.54,24.34,24.34,"99,202,500"
7-Dec-18,24.6,25.3,23.84,23.86,23.86,"172,668,000"
6-Dec-18,23.73,24.49,23.38,24.2,24.2,"117,637,500"
4-Dec-18,23.74,24.58,23.47,23.98,23.98,"126,928,500"
3-Dec-18,24,24.4,23.47,23.9,23.9,"124,597,500"
30-Nov-18,22.79,23.44,22.55,23.37,23.37,"84,436,500"
29-Nov-18,23.13,23.17,22.64,22.74,22.74,"46,210,500"
28-Nov-18,23.07,23.22,22.81,23.19,23.19,"61,914,000"
27-Nov-18,22.67,23.13,22.37,22.93,22.93,"95,374,500"
26-Nov-18,21.67,23.08,21.67,23.07,23.07,"119,881,500"
23-Nov-18,22.29,22.5,21.7,21.72,21.72,"63,039,000"
21-Nov-18,23.47,23.54,22.49,22.55,22.55,"70,302,000"
20-Nov-18,22.78,23.32,22.24,23.17,23.17,"120,070,500"
19-Nov-18,23.76,24.45,23.53,23.56,23.56,"145,633,500"
16-Nov-18,23.01,23.71,23.01,23.62,23.62,"108,093,000"
15-Nov-18,22.82,23.24,22.6,23.23,23.23,"69,385,500"
14-Nov-18,22.85,23.14,22.48,22.93,22.93,"75,604,500"
13-Nov-18,22.21,22.98,22.15,22.58,22.58,"81,729,000"
12-Nov-18,23.22,23.32,22.02,22.09,22.09,"104,122,500"
9-Nov-18,23.27,23.6,23.02,23.37,23.37,"76,482,000"
8-Nov-18,23.23,23.84,23.23,23.43,23.43,"106,360,500"
7-Nov-18,22.89,23.41,22.72,23.21,23.21,"110,617,500"
6-Nov-18,22.6,23.25,22.41,22.74,22.74,"101,443,500"
5-Nov-18,22.7,22.93,22.01,22.76,22.76,"117,465,000"
2-Nov-18,22.92,23.28,22.73,23.09,23.09,"117,120,000"
1-Nov-18,22.55,23.19,22.32,22.95,22.95,"120,001,500"
31-Oct-18,22.17,22.8,21.94,22.49,22.49,"114,364,500"
30-Oct-18,21.89,22.53,21.48,21.99,21.99,"136,900,500"
29-Oct-18,22.5,23.14,21.77,22.32,22.32,"217,290,000"
26-Oct-18,20.55,22.66,20.44,22.06,22.06,"411,382,500"
25-Oct-18,21.15,21.4,20.07,20.99,20.99,"312,610,500"
24-Oct-18,20.07,20.3,19.05,19.23,19.23,"300,874,500"
23-Oct-18,17.59,19.86,17.47,19.61,19.61,"285,417,000"
22-Oct-18,17.38,17.46,16.84,17.4,17.4,"84,004,500"
19-Oct-18,17.83,17.98,16.9,17.33,17.33,"140,632,500"
18-Oct-18,17.95,18.07,17.53,17.59,17.59,"81,318,000"
17-Oct-18,18.83,18.85,17.72,18.12,18.12,"129,832,500"
16-Oct-18,17.71,18.49,17.48,18.44,18.44,"142,896,000"
15-Oct-18,17.27,17.55,16.97,17.31,17.31,"93,000,000"
12-Oct-18,17.4,17.47,16.8,17.25,17.25,"108,021,000"
11-Oct-18,17.17,17.48,16.6,16.82,16.82,"122,515,500"
10-Oct-18,17.64,17.7,16.52,17.13,17.13,"192,229,500"
9-Oct-18,17.02,17.78,16.89,17.52,17.52,"180,909,000"
8-Oct-18,17.63,17.85,16.6,16.7,16.7,"202,090,500"
5-Oct-18,18.31,18.33,17.33,17.46,17.46,"269,167,500"
4-Oct-18,19.6,19.6,18.51,18.79,18.79,"147,213,000"
3-Oct-18,20.22,20.31,19.44,19.65,19.65,"119,925,000"
2-Oct-18,20.93,21.12,19.94,20.07,20.07,"176,152,500"
1-Oct-18,20.38,20.76,20.07,20.71,20.71,"326,664,000"
28-Sep-18,18.02,18.53,17.37,17.65,17.65,"504,745,500"
27-Sep-18,20.86,21,20.46,20.5,20.5,"127,636,500"
26-Sep-18,20.13,20.93,20.07,20.64,20.64,"117,648,000"
25-Sep-18,20,20.31,19.77,20.07,20.07,"67,225,500"
24-Sep-18,19.9,20.2,19.57,19.98,19.98,"72,645,000"
21-Sep-18,19.85,20.04,19.69,19.94,19.94,"75,757,500"
20-Sep-18,20.24,20.4,19.56,19.89,19.89,"110,241,000"
19-Sep-18,18.7,20,18.7,19.93,19.93,"124,423,500"
18-Sep-18,19.78,20.18,18.37,19,19,"248,212,500"
17-Sep-18,19.34,20.06,19.21,19.66,19.66,"103,314,000"
14-Sep-18,19.25,19.82,19.1,19.68,19.68,"101,484,000"
13-Sep-18,19.2,19.67,19.01,19.3,19.3,"95,104,500"
12-Sep-18,18.76,19.5,18.58,19.37,19.37,"150,231,000"
11-Sep-18,18.63,18.8,18.24,18.63,18.63,"137,550,000"
