Date,Open,High,Low,Closeÿ,Adj Closeÿ,Volume
31-Dec-18,110.324,110.468,109.659,110.33,110.33,-
28-Dec-18,110.86,110.93,110.222,110.855,110.855,-
27-Dec-18,111.221,111.222,110.653,111.206,111.206,-
26-Dec-18,110.431,110.698,110.286,110.402,110.402,-
25-Dec-18,110.314,110.344,109.991,110.311,110.311,-
24-Dec-18,111.1,111.14,110.267,111.054,111.054,-
21-Dec-18,111.198,111.45,110.939,111.171,111.171,-
20-Dec-18,112.422,112.599,111.331,112.41,112.41,-
19-Dec-18,112.497,112.584,112.133,112.524,112.524,-
18-Dec-18,112.832,112.832,112.25,112.829,112.829,-
17-Dec-18,113.391,113.517,112.877,113.39,113.39,-
14-Dec-18,113.573,113.668,113.319,113.56,113.56,-
13-Dec-18,113.287,113.702,113.287,113.285,113.285,-
12-Dec-18,113.384,113.512,113.16,113.384,113.384,-
11-Dec-18,113.2,113.453,113.006,113.181,113.181,-
10-Dec-18,112.506,113.049,112.249,112.502,112.502,-
7-Dec-18,112.731,112.925,112.563,112.689,112.689,-
6-Dec-18,113.062,113.153,112.24,113.051,113.051,-
5-Dec-18,112.697,113.226,112.683,112.699,112.699,-
4-Dec-18,113.589,113.614,112.72,113.587,113.587,-
3-Dec-18,113.758,113.758,113.373,113.763,113.763,-
30-Nov-18,113.412,113.596,113.338,113.411,113.411,-
29-Nov-18,113.57,113.608,113.201,113.555,113.555,-
28-Nov-18,113.777,114.015,113.71,113.767,113.767,-
27-Nov-18,113.515,113.832,113.406,113.504,113.504,-
26-Nov-18,112.924,113.588,112.904,112.919,112.919,-
23-Nov-18,112.998,113.005,112.664,112.978,112.978,-
22-Nov-18,113.021,113.123,112.88,113.021,113.021,-
21-Nov-18,112.712,113.142,112.702,112.703,112.703,-
20-Nov-18,112.456,112.731,112.3,112.443,112.443,-
19-Nov-18,112.727,112.865,112.449,112.73,112.73,-
16-Nov-18,113.559,113.602,112.679,113.555,113.555,-
15-Nov-18,113.559,113.65,113.101,113.564,113.564,-
14-Nov-18,113.793,113.996,113.655,113.789,113.789,-
13-Nov-18,113.66,114.14,113.592,113.696,113.696,-
12-Nov-18,113.838,114.184,113.66,113.846,113.846,-
9-Nov-18,113.959,114.002,113.656,113.953,113.953,-
8-Nov-18,113.566,113.875,113.551,113.547,113.547,-
7-Nov-18,113.352,113.808,112.95,113.363,113.363,-
6-Nov-18,113.273,113.436,113.108,113.246,113.246,-
5-Nov-18,113.133,113.321,113.075,113.139,113.139,-
2-Nov-18,112.723,113.103,112.661,112.715,112.715,-
1-Nov-18,112.846,112.995,112.642,112.851,112.851,-
31-Oct-18,113.057,113.375,112.828,113.052,113.052,-
30-Oct-18,112.307,112.973,112.307,112.324,112.324,-
29-Oct-18,111.912,112.551,111.79,111.908,111.908,-
26-Oct-18,112.313,112.434,111.385,112.35,112.35,-
25-Oct-18,112.029,112.631,111.825,112.012,112.012,-
24-Oct-18,112.447,112.737,112.331,112.444,112.444,-
23-Oct-18,112.741,112.795,111.962,112.757,112.757,-
22-Oct-18,112.451,112.874,112.352,112.48,112.48,-
19-Oct-18,112.211,112.623,112.199,112.185,112.185,-
18-Oct-18,112.618,112.725,112.09,112.628,112.628,-
17-Oct-18,112.314,112.414,112.018,112.342,112.342,-
16-Oct-18,111.847,112.285,111.813,111.841,111.841,-
15-Oct-18,112.219,112.219,111.623,112.192,112.192,-
