Date,Open,High,Low,Close,Adj Close,Volume
28-Dec-18,102.09,102.41,99.52,100.39,94.81,"38,196,300"
27-Dec-18,99.3,101.19,96.4,101.18,95.56,"49,498,500"
26-Dec-18,95.14,100.69,93.96,100.56,94.97,"51,634,800"
24-Dec-18,97.68,97.97,93.98,94.13,88.9,"43,935,200"
21-Dec-18,101.63,103,97.46,98.23,92.77,"111,242,100"
20-Dec-18,103.05,104.31,98.78,101.51,95.87,"70,334,200"
19-Dec-18,103.65,106.88,101.35,103.69,97.93,"68,198,200"
18-Dec-18,103.75,104.51,102.52,103.97,98.19,"49,319,200"
17-Dec-18,105.41,105.8,101.71,102.89,97.17,"56,957,300"
14-Dec-18,108.25,109.26,105.5,106.03,100.14,"47,043,100"
13-Dec-18,109.58,110.87,108.63,109.45,103.37,"31,333,400"
12-Dec-18,110.89,111.27,109.04,109.08,103.02,"36,183,000"
11-Dec-18,109.8,110.95,107.44,108.59,102.56,"42,381,900"
10-Dec-18,104.8,107.98,103.89,107.59,101.61,"40,801,500"
7-Dec-18,108.38,109.45,104.3,104.82,99,"45,044,900"
6-Dec-18,105.82,109.24,105,109.19,103.12,"49,107,400"
4-Dec-18,111.94,112.64,108.21,108.52,102.49,"45,197,000"
3-Dec-18,113,113.42,110.73,112.09,105.86,"34,732,800"
30-Nov-18,110.7,110.97,109.36,110.89,104.73,"33,665,600"
29-Nov-18,110.33,111.12,109.03,110.19,104.07,"28,123,200"
28-Nov-18,107.89,111.33,107.86,111.12,104.95,"46,788,500"
27-Nov-18,106.27,107.33,105.36,107.14,101.19,"29,124,500"
26-Nov-18,104.79,106.63,104.58,106.47,100.55,"32,336,200"
23-Nov-18,102.17,103.81,102,103.07,97.34,"13,823,100"
21-Nov-18,103.6,104.43,102.24,103.11,97.38,"28,130,600"
20-Nov-18,101.8,102.97,99.35,101.71,96.06,"64,052,500"
19-Nov-18,108.27,108.56,103.55,104.62,98.81,"44,773,900"
16-Nov-18,107.08,108.88,106.8,108.29,102.27,"33,502,100"
15-Nov-18,104.99,107.8,103.91,107.28,101.32,"38,505,200"
14-Nov-18,108.1,108.26,104.47,104.97,99.14,"39,495,100"
13-Nov-18,107.55,108.74,106.64,106.94,100.56,"35,374,600"
12-Nov-18,109.42,109.96,106.1,106.87,100.5,"33,621,800"
9-Nov-18,110.85,111.45,108.76,109.57,103.04,"32,039,200"
8-Nov-18,111.8,112.21,110.91,111.75,105.09,"25,644,100"
7-Nov-18,109.44,112.24,109.4,111.96,105.28,"37,901,700"
6-Nov-18,107.38,108.84,106.28,107.72,101.3,"24,340,200"
5-Nov-18,106.37,107.74,105.9,107.51,101.1,"27,922,100"
2-Nov-18,106.48,107.32,104.98,106.16,99.83,"37,680,200"
1-Nov-18,107.05,107.32,105.53,105.92,99.6,"33,384,200"
31-Oct-18,105.44,108.14,105.39,106.81,100.44,"51,062,400"
30-Oct-18,103.66,104.38,100.11,103.73,97.54,"65,350,900"
29-Oct-18,108.11,108.7,101.63,103.85,97.66,"55,162,000"
26-Oct-18,105.69,108.75,104.76,106.96,100.58,"55,523,100"
25-Oct-18,106.55,109.27,106.15,108.3,101.84,"61,646,800"
24-Oct-18,108.41,108.49,101.59,102.32,96.22,"63,897,800"
23-Oct-18,107.77,108.97,105.11,108.1,101.65,"43,770,400"
22-Oct-18,109.32,110.54,108.24,109.63,103.09,"26,545,600"
19-Oct-18,108.93,110.86,108.21,108.66,102.18,"32,785,500"
18-Oct-18,110.1,110.53,107.83,108.5,102.03,"32,506,200"
17-Oct-18,111.68,111.81,109.55,110.71,104.11,"26,548,200"
16-Oct-18,109.54,111.41,108.95,111,104.38,"31,610,200"
15-Oct-18,108.91,109.48,106.95,107.6,101.18,"32,068,100"
12-Oct-18,109.01,111.24,107.12,109.57,103.04,"47,742,100"
11-Oct-18,105.35,108.93,104.2,105.91,99.59,"63,904,300"
10-Oct-18,111.24,111.5,105.79,106.16,99.83,"61,376,300"
9-Oct-18,111.14,113.08,110.8,112.26,105.57,"26,198,600"
8-Oct-18,111.66,112.03,109.34,110.85,104.24,"29,640,600"
5-Oct-18,112.63,113.17,110.64,112.13,105.44,"29,068,900"
4-Oct-18,114.61,114.76,111.63,112.79,106.06,"34,821,700"
3-Oct-18,115.42,116.18,114.93,115.17,108.3,"16,648,000"
2-Oct-18,115.3,115.84,114.44,115.15,108.28,"20,787,200"
1-Oct-18,114.75,115.68,114.73,115.61,108.72,"18,883,100"
28-Sep-18,114.19,114.57,113.68,114.37,107.55,"21,647,800"
27-Sep-18,114.78,114.91,114.2,114.41,107.59,"19,091,300"
26-Sep-18,114.47,115.06,113.74,113.98,107.18,"19,352,000"
25-Sep-18,114.8,115.1,113.75,114.45,107.63,"22,668,000"
24-Sep-18,113.03,114.9,112.22,114.67,107.83,"27,334,500"
21-Sep-18,114,115.29,113.51,114.26,107.45,"71,229,700"
20-Sep-18,112.28,113.8,111.93,113.57,106.8,"23,714,500"
19-Sep-18,113.05,113.32,111.04,111.7,105.04,"21,728,400"
18-Sep-18,112.19,113.7,111.72,113.21,106.46,"22,170,900"
17-Sep-18,113.69,113.7,111.86,112.14,105.45,"20,736,500"
14-Sep-18,113.36,113.73,112.44,113.37,106.61,"19,122,300"
13-Sep-18,112.12,113.73,112.12,112.91,106.18,"26,055,600"
12-Sep-18,111.43,111.85,110.51,111.71,105.05,"18,891,100"
11-Sep-18,108.9,111.59,108.89,111.24,104.61,"24,301,800"
10-Sep-18,108.84,109.64,108.36,109.38,102.86,"20,727,900"
7-Sep-18,108.23,108.72,107.23,108.21,101.76,"22,498,600"
6-Sep-18,108.25,108.99,107.51,108.74,102.26,"23,477,600"
5-Sep-18,111.01,111.42,108.1,108.49,102.02,"32,872,400"
4-Sep-18,110.85,111.96,110.22,111.71,105.05,"22,634,600"
31-Aug-18,111.69,112.78,111.52,112.33,105.63,"23,222,700"
30-Aug-18,111.67,112.61,111.44,111.95,105.27,"22,798,700"
29-Aug-18,110.45,112.03,110.27,112.02,105.34,"20,818,000"
28-Aug-18,109.94,110.5,109.79,110.26,103.69,"19,151,500"
27-Aug-18,109.27,109.64,108.51,109.6,103.06,"19,662,300"
24-Aug-18,107.67,108.56,107.56,108.4,101.94,"17,234,000"
23-Aug-18,107.15,108.18,106.87,107.56,101.15,"18,167,700"
22-Aug-18,105.85,107.34,105.78,107.06,100.68,"18,000,600"
21-Aug-18,106.92,107.35,105.85,105.98,99.66,"22,881,900"
20-Aug-18,107.51,107.9,106.48,106.87,100.5,"17,914,200"
17-Aug-18,107.36,107.9,106.69,107.58,101.17,"18,061,500"
16-Aug-18,108.3,108.86,107.3,107.64,101.22,"21,384,300"
15-Aug-18,108.49,108.99,106.82,107.66,101.24,"29,982,800"
14-Aug-18,108.56,109.75,108.04,109.56,102.63,"16,788,300"
13-Aug-18,109.24,109.58,108.1,108.21,101.37,"18,472,500"
10-Aug-18,109.42,109.69,108.38,109,102.11,"18,183,700"
9-Aug-18,109.71,110.16,109.6,109.67,102.74,"13,677,200"
8-Aug-18,109.33,109.75,108.76,109.49,102.57,"15,487,500"
7-Aug-18,108.56,109.1,108.17,108.88,102,"16,080,200"
6-Aug-18,108.12,108.42,107.56,108.13,101.29,"20,265,900"
3-Aug-18,107.8,108.05,106.82,108.04,101.21,"18,659,600"
2-Aug-18,105.4,108.09,104.84,107.57,100.77,"26,104,300"
1-Aug-18,106.03,106.45,105.42,106.28,99.56,"23,628,700"
31-Jul-18,106.49,106.72,105.38,106.08,99.37,"27,655,200"
30-Jul-18,107.19,107.53,104.76,105.37,98.71,"34,668,300"
27-Jul-18,110.18,110.18,106.14,107.68,100.87,"37,005,300"
26-Jul-18,110.74,111,109.5,109.62,102.69,"31,372,100"
25-Jul-18,107.96,111.15,107.6,110.83,103.82,"30,702,100"
24-Jul-18,108.57,108.82,107.26,107.66,100.85,"26,316,600"
23-Jul-18,106.3,108.14,106.13,107.97,101.14,"29,707,000"
20-Jul-18,108.08,108.2,106.08,106.27,99.55,"56,004,000"
19-Jul-18,104.93,105.31,103.89,104.4,97.8,"40,171,600"
18-Jul-18,105.94,106.05,104.72,105.12,98.47,"29,493,900"
17-Jul-18,104.61,106.5,104.32,105.95,99.25,"25,901,700"
16-Jul-18,105.4,105.82,104.52,104.91,98.28,"21,786,900"
13-Jul-18,104.37,105.6,104.09,105.43,98.76,"24,635,200"
12-Jul-18,102.77,104.41,102.73,104.19,97.6,"24,335,900"
11-Jul-18,101.15,102.34,101.1,101.98,95.53,"19,644,600"
10-Jul-18,102,102.51,101.86,102.12,95.66,"19,293,100"
9-Jul-18,101.65,102.25,101.25,101.85,95.41,"18,212,000"
6-Jul-18,99.89,101.43,99.67,101.16,94.76,"19,234,600"
5-Jul-18,99.5,99.92,99.03,99.76,93.45,"18,977,400"
3-Jul-18,100.48,100.63,98.94,99.05,92.79,"14,670,300"
2-Jul-18,98.1,100.06,98,100.01,93.69,"19,564,500"
29-Jun-18,98.93,99.91,98.33,98.61,92.37,"28,053,200"
28-Jun-18,97.38,99.11,97.26,98.63,92.39,"26,650,700"
27-Jun-18,99.58,100.02,97.4,97.54,91.37,"31,298,400"
26-Jun-18,98.82,100.08,98.75,99.08,92.81,"26,897,200"
25-Jun-18,100,100.11,97.3,98.39,92.17,"35,433,300"
22-Jun-18,100.41,100.77,99.63,100.41,94.06,"38,923,100"
21-Jun-18,102.08,102.46,100.88,101.14,94.74,"23,198,200"
20-Jun-18,101.37,102.52,101.12,101.87,95.43,"26,180,800"
19-Jun-18,99.65,101,99.5,100.86,94.48,"28,653,100"
18-Jun-18,100.01,101.11,99.42,100.86,94.48,"23,586,000"
15-Jun-18,101.51,101.53,100.07,100.13,93.8,"65,738,600"
14-Jun-18,101.65,102.03,101,101.42,95.01,"25,691,800"
13-Jun-18,101.72,102.01,100.56,100.85,94.47,"29,492,900"
12-Jun-18,101.1,101.45,100.75,101.31,94.9,"18,325,200"
11-Jun-18,101.01,101.59,100.67,101.05,94.66,"23,490,900"
