Date,"1 Mo","2 Mo","3 Mo","4 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
10/31/2023,5.56,5.57,5.59,5.61,5.54,5.44,5.07,4.90,4.82,4.89,4.88,5.21,5.04
10/30/2023,5.56,5.57,5.60,5.61,5.53,5.41,5.03,4.87,4.80,4.88,4.88,5.21,5.04
10/27/2023,5.57,5.57,5.59,5.60,5.55,5.39,4.99,4.84,4.76,4.83,4.84,5.19,5.03
10/26/2023,5.57,5.57,5.59,5.60,5.55,5.39,5.02,4.89,4.79,4.86,4.86,5.19,5.01
10/25/2023,5.56,5.57,5.59,5.61,5.57,5.43,5.08,4.98,4.89,4.98,4.95,5.27,5.09
10/24/2023,5.57,5.57,5.58,5.60,5.57,5.41,5.02,4.91,4.82,4.86,4.83,5.15,4.96
10/23/2023,5.57,5.57,5.58,5.59,5.56,5.42,5.05,4.89,4.81,4.87,4.86,5.19,5.01
10/20/2023,5.56,5.56,5.58,5.61,5.54,5.41,5.07,4.93,4.86,4.93,4.93,5.27,5.09
10/19/2023,5.58,5.57,5.60,5.62,5.56,5.44,5.14,5.01,4.95,5.00,4.98,5.30,5.11
10/18/2023,5.57,5.56,5.61,5.62,5.58,5.47,5.19,5.03,4.92,4.95,4.91,5.20,5.00
10/17/2023,5.58,5.58,5.62,5.64,5.60,5.48,5.19,5.01,4.86,4.88,4.83,5.14,4.94
10/16/2023,5.57,5.58,5.61,5.63,5.58,5.42,5.09,4.87,4.72,4.74,4.71,5.06,4.87
10/13/2023,5.60,5.58,5.62,5.62,5.57,5.41,5.04,4.80,4.65,4.66,4.63,4.97,4.78
10/12/2023,5.61,5.59,5.63,5.63,5.58,5.43,5.06,4.82,4.69,4.73,4.70,5.05,4.86
10/11/2023,5.58,5.59,5.61,5.63,5.56,5.38,4.99,4.73,4.59,4.61,4.58,4.92,4.73
10/10/2023,5.60,5.61,5.61,5.63,5.57,5.37,4.96,4.74,4.62,4.66,4.66,5.03,4.85
10/06/2023,5.59,5.60,5.63,5.64,5.59,5.43,5.08,4.87,4.75,4.79,4.78,5.13,4.95
10/05/2023,5.57,5.59,5.61,5.62,5.56,5.39,5.03,4.82,4.68,4.73,4.72,5.06,4.89
10/04/2023,5.56,5.58,5.61,5.62,5.57,5.42,5.05,4.85,4.72,4.75,4.73,5.05,4.87
10/03/2023,5.55,5.60,5.62,5.62,5.58,5.49,5.15,4.95,4.80,4.84,4.81,5.13,4.95
10/02/2023,5.56,5.60,5.62,5.62,5.58,5.49,5.12,4.88,4.72,4.73,4.69,5.00,4.81
